,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
20,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200025,자동차수리,343789972,2532,83,17,18,14,16,22,13,15,3,0,10,20,41,29,0,75,25,0,5,8,41,30,17,284013275,59776697,60318245,47418287,55934428,76044299,44298016,50601330,9175367,0,33960675,67374187,141798695,99819191,837224,193058557,64384113,0,14020491,19191190,104703013,76191563,43336411,1986,546,388,379,446,407,366,477,69,0,391,685,824,629,3,1327,537,0,102,228,601,546,390,9
21,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200028,미용실,87855456,3162,63,37,12,9,13,15,14,26,12,0,3,22,30,42,3,37,63,2,6,12,37,29,14,54967910,32887546,10173344,7816968,11174359,13246238,12557001,22820019,10067527,0,2473596,19637568,26372955,37000175,2371162,31886853,54786061,1514589,5414074,10431678,32430603,25074342,11807626,2028,1134,430,327,394,432,445,729,405,0,102,753,997,1254,56,1471,1668,106,277,446,1104,893,308,27
22,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200029,네일숍,1932527,32,71,29,10,13,9,28,11,29,0,0,0,58,0,42,0,9,92,0,0,14,55,26,5,1375348,557179,201118,255707,167598,536313,214612,557179,0,0,0,1123797,0,808730,0,164384,1768143,0,0,268156,1070253,502794,91324,27,5,4,4,4,11,4,5,0,0,0,14,0,18,0,3,29,0,0,6,12,11,3,2
23,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200030,피부관리실,42823772,224,97,3,43,25,1,2,27,3,0,0,0,94,2,4,0,2,98,0,0,9,3,88,0,41730294,1093478,18244582,10638197,239706,1027864,11579945,1093478,0,0,0,40103165,1027864,1692743,0,770898,42052874,0,0,3870967,1370162,37582643,0,185,39,76,37,8,26,38,39,0,0,0,141,26,57,0,25,199,0,0,13,43,168,0,5
24,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200032,가전제품수리,4742849,8,100,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,4742849,0,0,0,0,0,4742849,0,0,0,0,0,0,4742849,0,0,4742849,0,0,0,0,4742849,0,8,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,8,0,0,0,0,8,0,1
25,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200037,노래방,154354715,2312,66,34,7,15,12,16,16,19,15,43,0,0,1,11,46,87,13,1,5,12,36,36,10,102026785,52327930,11158940,23489307,19211550,24284172,23882816,29755490,22572440,65664675,-665504,68443,1034942,17503075,70749084,114299465,16616651,877762,6916415,16113995,46943165,47646032,12418750,1532,780,189,290,315,342,396,451,329,783,1,6,34,384,1104,1600,497,60,304,348,615,562,208,21
26,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200038,독서실,19511140,169,84,16,34,12,5,5,27,11,5,0,11,23,11,28,27,42,58,0,7,0,53,41,0,16338253,3172887,6667293,2267557,1057629,1057629,5288145,2115258,1057629,0,2191407,4458964,2115258,5457366,5288145,7801072,10652439,0,1286077,0,9687882,7479552,0,144,25,68,34,8,8,26,16,9,0,25,61,16,51,16,93,67,0,33,0,59,68,0,3
27,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300001,슈퍼마켓,987727778,68896,73,27,13,15,15,15,16,14,13,0,9,16,27,37,10,50,50,1,7,16,30,29,18,721401116,266326662,123695614,142874957,147070237,151529033,156231275,133755333,132571329,3184281,87265776,161312941,270968195,368043221,96953364,429825949,430846114,4890790,55951651,134092947,259953414,253087196,152696068,50414,18482,9669,10294,9766,10280,10405,9323,9159,215,5097,11095,14952,27008,10529,34410,30654,1048,7910,11212,18255,16971,9687,27
28,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300002,편의점,1195451761,220467,79,21,15,16,16,16,16,10,10,9,23,15,15,23,16,72,28,2,23,33,25,12,4,949709887,245741874,182160574,195350253,186335160,192754029,193109871,123908655,121833219,110591571,271044647,172923322,176124574,270562223,194205424,819697601,312561998,26217338,260586351,376391001,287029441,139111108,42924359,180186,40281,34606,36816,35877,37133,35754,20337,19944,16242,58037,34120,35408,46616,30044,150994,62674,8205,58896,73046,47846,20091,5583,26
29,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300003,컴퓨터및주변장치판매,51277400,1251,98,2,7,14,24,37,16,2,0,0,8,21,44,27,0,98,2,0,7,0,13,24,56,50264201,1013199,3605796,7024448,12098788,19191178,8343991,1013199,0,0,4082596,10906787,22550828,13737189,0,25321629,536399,0,1787998,0,3337596,6190049,14542383,1191,60,178,180,298,297,238,60,0,0,179,180,417,475,0,775,60,0,60,0,239,179,358,0
